ticker,sentiment change percent,price change percent
AAV.TO,16400.000000001815,0.08624994
SLBG,7529.999999999998,-0.0624312
AFYA,5836.666666666668,-0.0020100003
OOMA,5513.333333333332,0.010979699999999998
CGEN,5420.0,0.037837799
SF,4966.666666666471,-0.000357024
BENE,4413.333333333334,-0.0009680764
CCO.TO,3964.9999999999986,0.030672579999999998
SMSI,3677.5000000000005,-0.032388632
SY,3160.000000000001,0.05054275
REAL,2703.39794857888,-0.0080321205
JP,2566.666666666666,0.0
FMBI,2400.0,0.027711415000000003
ISBC,2400.0,-0.024613247
METX,2206.0344827585545,-0.014285702
TSN,2147.4913240002534,-0.00941201
CVE.TO,2088.3333333333344,0.008574969
D-UN.TO,2078.57142857143,-0.0015479246999999998
KL.TO,1941.9696969696965,0.020739186
ABX.TO,1899.9999999999995,0.038005261
ACCO,1899.9999999999995,0.00612557
ISIG,1899.9999999999995,-0.006535972399999999
GGD.TO,1791.999999999998,0.03414631
IBIO,1566.181069398963,-0.0151515
ACY,1526.6666666666672,-0.0466926
DOL.TO,1399.999999999999,0.015650242999999998
BBBY,1224.6768053762598,-0.052313833000000004
WWE,1116.6427546628418,0.00112017
FNV.TO,900.0000000000009,0.040042514999999994
ACXP,900.0000000000009,-0.010554079999999999
TD.TO,900.0000000000009,-0.0050941866999999995
DIS,804.9681251750085,0.0184322
FB,702.0145225893302,0.005060084500000001
ASTI,649.9999999999995,-0.034782577
MU,580.4814706980663,-0.029486203
VXX,520.7761982012742,-0.0233968
ASML,505.1850458863353,-0.054740729999999994
BATRA,478.48443031139374,0.02624254
WPM.TO,459.1333333333348,0.036006858
HNDL,391.428571428571,0.017961111999999998
IINN,379.1666666666667,-0.01515159
CRXT,367.45685964879146,0.0028788373
SOUN,366.34482758620743,-0.033582146
PETV,365.30959451338026,0.15189875
QS,353.07342565339025,0.00931315
BNS.TO,352.380952380953,-0.016474104
EVBG,347.8280340349305,0.038723555
VXRT,334.37466158329823,0.07142857600000001
GOGL,319.26215162561977,-0.07646051
ELEV,314.81481481481524,0.028571486
NCLH,305.06524501302613,0.0188849
IUSB,300.2499999999996,0.008253044499999999
LIXT,300.0,-0.038305704999999995
CFVI,286.473429951691,0.0020059682
CSIQ,285.70408406161704,-0.0006422142
SLI,283.9153514936136,0.0
VVV,282.8167482327355,0.0166493
ITP,276.15343925709675,0.0117845
AFMD,275.1692578268409,0.01444042
WEAT,274.09369525814975,-0.045354
OCX,273.23529411764673,-0.053017659999999994
XSPA,267.64999495386064,0.011440984000000001
PIK,259.51689916674417,0.14393934
FF,252.96766270978233,0.010989
SJR,237.79057089275634,0.01222
DAC,233.8940515730679,-0.0188589
W,232.7466081260103,0.040404
PHUN,230.38070136598944,-0.027777859999999998
NOK,229.17002146830504,0.010845899999999999
GOCO,225.32499999999996,0.020739307
SBFM,218.96538077976336,0.0555555
ARCH,217.3220886895191,0.0049619600000000005
HOTH,210.87502175240255,-0.010019111999999998
INDO,209.828417536274,-0.042748100000000004
TSM,206.01194330499268,-0.058103999999999996
IRNT,201.01172314115937,-0.045248933
TNXP,200.5032929081418,0.018987322
MFC,200.44304965848227,0.010963677
CNQ,200.32277545799892,0.020305499999999997
CPRI,190.91813265369524,0.00536458
SPI,186.70569782653268,-0.028901775
ROKU,179.3005354327797,0.021548626
WIX,176.3343759459187,0.04057965
KSS,174.43995724052215,-0.196414
ENB.TO,168.99999999999923,0.0032192647
UPST,167.86228326000366,0.037950628
MVIS,164.8384859765537,0.028645868
BMBL,164.32824701305168,0.042984049999999996
GGB,164.133484053735,-0.018648
AA,163.79979112143684,-0.0175516
KSCP,163.04473684210507,0.0066666603
SPWR,161.70814417161017,-0.010120226999999999
CSCW,161.02894270375353,-0.060377316
IMMX,154.22070314220488,0.0
JAGX,149.18661642642985,0.048299326999999996
NFLX,148.6104581296385,0.029050162
JACK,146.78852900602894,0.031573322
AAL,146.1484864220616,0.035488944
FUL,144.31003404766685,0.00531473
GBT,143.26137008241804,0.02660402
ASTS,140.62919087662004,0.007961738000000001
ARKF,139.51612903225782,0.0232408
NVAX,139.07281289871548,0.11121914999999999
GS,138.42441521422072,0.00744065
PETZ,135.29188347449582,-0.04736844
RNG,131.90584783929054,0.0568313
CCL,131.05702466030098,0.0196532
SHOP.TO,129.37984496124244,0.0029835635
CELH,128.11176667464235,0.010726279
SPCE,127.73976158139293,0.043189399999999996
INMD,126.35010000740779,0.0044623107
IONQ,126.19315654227657,0.0022830483
STNE,124.14282589370917,0.0090909314
ISPO,120.8924522568425,0.0431965
ENVX,120.77455757886644,-0.021324308
SIDU,118.7244873934981,-0.06060608
CMG,117.73022350035771,-0.0003518511
CPIX,117.35849056603764,0.012048122999999999
AB,115.0243847145671,0.013708506
ZEN,112.2093713053919,0.00594036
RCL,109.94132832017715,0.0108852
MVST,109.8439375750306,0.0
ABEV,109.67790355984839,0.0199203
FTS.TO,108.33333333333259,-0.005094455
VKIN,107.63713556457675,0.013157882999999999
CLNE,105.86955556542192,0.020089318999999998
LOTZ,105.61987887020989,0.007878037
SKLZ,104.54633977356539,0.016129
HGEN,104.48411764824708,-0.07344632599999999
TIVC,101.62617338487033,-0.015384660999999999
C,100.39527375985054,0.019134500000000002
ABT,100.1041874353668,0.014450066
KALV,100.0,0.006097506999999999
DWAC,99.64974750881636,0.0016556671
BCE,98.84809779914292,0.0136234
MGTX,97.73134328358218,0.0
MBRX,97.71961648095362,0.013793089000000001
INTC,97.16304021995097,-0.028601969999999997
BBI,97.06669376745796,-0.22222225
V,95.99273801620747,0.011630799999999998
GLSI,93.08635324607278,0.05785121
GEVO,92.77948934624422,0.0042553154
SHOP,91.64489336177564,0.0054417400000000005
ACHC,91.26278701639107,0.05840610500000001
APDN,91.10207940132251,-0.04181892
ANF,89.96885659202125,0.0153664
NKLA,88.97405581358207,-0.008403453
WKHS,88.50991869621039,0.0
GOOS,87.99999999999977,-0.021099448
AXSM,87.39946876680462,0.06109661
CHPT,86.86868290022909,-0.07304602
UPWK,85.95609859658542,0.073017416
LGVN,85.72023892207241,0.0016863792999999999
FUBO,84.50411823952028,0.0
AC.TO,83.14893617021268,0.008728141
USEG,82.670221149171,-0.0028901705
ATER,82.32035172562829,0.00925925
AQB,82.28571428571432,-0.093567295
SOLO,81.86478797367116,-0.051851892
GOOGL,81.40071882535184,-0.0020695142
CTRM,81.27350875353802,-0.007462679
NAK,80.27072533958888,0.0138143
GAB,79.66666666666669,0.016393427000000002
AMC,79.61337170139828,-0.0014760499999999998
TDOC,79.38157199090628,0.04878059999999999
FTCH,78.78539446301302,0.015363100000000001
MNTS,78.75155022736664,0.0
FVRR,75.90775883545933,0.0157023
SD,75.56175772770098,0.015954053
YY,73.58490566037696,0.03717343
RBLX,73.0106954959121,0.06725499
TBLT,72.3534609330968,-0.12107622
MNDY,72.29787844036673,0.054575386000000004
XOP,71.95390209378137,0.012052199999999999
ANY,71.09789151460608,0.020903344
APPS,71.051872510509,-0.016027404999999998
EPRT,70.95530955309555,0.027919980999999996
RELI,69.68114861085229,0.004784684799999999
QQQ,69.59164852995127,0.006600564
MIRO,68.75239507166826,-0.18045115
RMSL,68.34186939820732,0.050847449999999995
EPIX,67.64791707497646,-0.10476195
UA,66.13485076600529,0.011873400000000001
PYPL,65.94345361507077,0.022336844999999998
DOCU,65.12481211593044,0.06692228
SQ,62.90438800889151,0.039700700000000005
BCYC,62.768746722600866,0.04231222
AEHR,62.056173820879756,-0.074666657
DAL,62.00769518967402,0.0189852
KPLT,61.83738843105024,0.028037355
APPN,61.74123836855372,-0.004645296
CMMB,61.605959219746275,-0.10270272999999999
KO,61.38427094855932,0.023366699999999997
AMRN,61.216857936395975,-0.033557017
L,61.182352342875966,0.0150186
CAR,61.151668412851464,0.026040260000000003
XELA,60.44874379829468,0.0034964975999999997
ABB,59.76933763204117,-0.004489298
ENPH,59.22325816234804,0.0024584907
RIDE,57.66574840129481,0.012658214999999999
